<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.12	20:45:00	7.30882	7.31147	7.30852	7.31097	0	0	0
2025.02.12	21:00:00	7.31093	7.31176	7.3105	7.31141	0	0	0
2025.02.12	21:15:00	7.31141	7.31217	7.31124	7.31168	0	0	0
2025.02.12	21:30:00	7.31168	7.31306	7.31055	7.31253	0	0	0
2025.02.12	21:45:00	7.31253	7.31353	7.31042	7.31046	0	0	0
2025.02.12	22:00:00	7.31046	7.31187	7.31046	7.31143	0	0	0
2025.02.12	22:15:00	7.31143	7.31173	7.30966	7.30969	0	0	0
2025.02.12	22:30:00	7.30975	7.31022	7.30884	7.31015	0	0	0
2025.02.12	22:45:00	7.31015	7.31035	7.30896	7.31022	0	0	0
2025.02.12	23:00:00	7.31162	7.31313	7.30858	7.31219	0	0	0
2025.02.12	23:15:00	7.31222	7.31222	7.31061	7.31107	0	0	0
2025.02.12	23:30:00	7.31095	7.31151	7.30981	7.31002	0	0	0
2025.02.12	23:45:00	7.31	7.31114	7.30832	7.30982	0	0	0
2025.02.13	00:00:00	7.30982	7.30982	7.30866	7.30903	0	0	0
2025.02.13	00:15:00	7.30903	7.30903	7.30884	7.30903	0	0	0
2025.02.13	00:30:00	7.30903	7.30933	7.30839	7.30843	0	0	0
2025.02.13	00:45:00	7.30843	7.30872	7.30823	7.30836	0	0	0
2025.02.13	01:00:00	7.30941	7.31023	7.30858	7.31004	0	0	0
2025.02.13	01:15:00	7.31004	7.31042	7.30984	7.31021	0	0	0
2025.02.13	01:30:00	7.31024	7.31096	7.30881	7.31042	0	0	0
2025.02.13	01:45:00	7.31042	7.31059	7.30848	7.30919	0	0	0
2025.02.13	02:00:00	7.30919	7.30939	7.30767	7.30934	0	0	0
2025.02.13	02:15:00	7.30934	7.31094	7.30888	7.31009	0	0	0
2025.02.13	02:30:00	7.3101	7.31056	7.3085	7.30912	0	0	0
2025.02.13	02:45:00	7.30912	7.31162	7.30849	7.31064	0	0	0
2025.02.13	03:00:00	7.31061	7.31229	7.30941	7.31017	0	0	0
2025.02.13	03:15:00	7.31042	7.31116	7.30924	7.31063	0	0	0
2025.02.13	03:30:00	7.31064	7.31143	7.30688	7.30688	0	0	0
2025.02.13	03:45:00	7.30697	7.30861	7.30423	7.30722	0	0	0
2025.02.13	04:00:00	7.30721	7.30929	7.30691	7.3086	0	0	0
2025.02.13	04:15:00	7.30859	7.30863	7.3045	7.30468	0	0	0
2025.02.13	04:30:00	7.30468	7.30581	7.30311	7.30493	0	0	0
2025.02.13	04:45:00	7.30496	7.30579	7.30367	7.30483	0	0	0
2025.02.13	05:00:00	7.3048	7.30517	7.3022	7.30221	0	0	0
2025.02.13	05:15:00	7.30222	7.30257	7.29452	7.29723	0	0	0
2025.02.13	05:30:00	7.29723	7.29836	7.29034	7.29374	0	0	0
2025.02.13	05:45:00	7.29378	7.29493	7.29268	7.2936	0	0	0
2025.02.13	06:00:00	7.29356	7.29371	7.28307	7.2859	0	0	0
2025.02.13	06:15:00	7.28617	7.28663	7.28112	7.28545	0	0	0
2025.02.13	06:30:00	7.28523	7.28687	7.28294	7.28612	0	0	0
2025.02.13	06:45:00	7.28613	7.28892	7.2861	7.28718	0	0	0
2025.02.13	07:00:00	7.28718	7.28905	7.28558	7.28617	0	0	0
2025.02.13	07:15:00	7.28618	7.28793	7.28524	7.28563	0	0	0
2025.02.13	07:30:00	7.28568	7.28771	7.28525	7.28682	0	0	0
2025.02.13	07:45:00	7.28681	7.28701	7.28174	7.284	0	0	0
2025.02.13	08:00:00	7.284	7.28554	7.28246	7.28376	0	0	0
2025.02.13	08:15:00	7.28375	7.28629	7.28254	7.28573	0	0	0
2025.02.13	08:30:00	7.28576	7.2884	7.2855	7.28813	0	0	0
2025.02.13	08:45:00	7.28812	7.29237	7.28707	7.29092	0	0	0
2025.02.13	09:00:00	7.29085	7.29086	7.28854	7.29026	0	0	0
2025.02.13	09:15:00	7.2903	7.29214	7.28712	7.29107	0	0	0
2025.02.13	09:30:00	7.29086	7.2926	7.2904	7.29211	0	0	0
2025.02.13	09:45:00	7.2921	7.29599	7.29188	7.29403	0	0	0
2025.02.13	10:00:00	7.29405	7.2968	7.29355	7.29555	0	0	0
2025.02.13	10:15:00	7.29557	7.29601	7.29296	7.29443	0	0	0
2025.02.13	10:30:00	7.2944	7.29657	7.29272	7.2955	0	0	0
2025.02.13	10:45:00	7.29615	7.29794	7.29548	7.29548	0	0	0
2025.02.13	11:00:00	7.29549	7.2958	7.29363	7.29421	0	0	0
2025.02.13	11:15:00	7.29421	7.29572	7.29373	7.2949	0	0	0
2025.02.13	11:30:00	7.29493	7.29806	7.29452	7.2964	0	0	0
2025.02.13	11:45:00	7.29639	7.29757	7.29433	7.29484	0	0	0
2025.02.13	12:00:00	7.29479	7.29636	7.29252	7.29339	0	0	0
2025.02.13	12:15:00	7.29339	7.29415	7.29294	7.29307	0	0	0
2025.02.13	12:30:00	7.29308	7.29533	7.29291	7.29444	0	0	0
2025.02.13	12:45:00	7.29444	7.29718	7.29423	7.29592	0	0	0
2025.02.13	13:00:00	7.2959	7.29609	7.29436	7.29491	0	0	0
2025.02.13	13:15:00	7.29492	7.29663	7.29491	7.2966	0	0	0
2025.02.13	13:30:00	7.29659	7.29669	7.29542	7.29571	0	0	0
2025.02.13	13:45:00	7.2957	7.30258	7.29541	7.29923	0	0	0
2025.02.13	14:00:00	7.29923	7.30291	7.29923	7.30199	0	0	0
2025.02.13	14:15:00	7.30194	7.30302	7.30002	7.30041	0	0	0
2025.02.13	14:30:00	7.30042	7.30097	7.29984	7.30085	0	0	0
2025.02.13	14:45:00	7.30086	7.30358	7.30069	7.30257	0	0	0
2025.02.13	15:00:00	7.30251	7.30251	7.30074	7.30157	0	0	0
2025.02.13	15:15:00	7.30157	7.30393	7.30085	7.3028	0	0	0
2025.02.13	15:30:00	7.3024	7.30517	7.29738	7.29862	0	0	0
